qid,docid,docno,rank,score,query,full_text
1,9797,9798,0,9.975635851318362,meta,We’re in Meta!🫶 | aespa Meta Tour Behind      #aespa #æspa #에스파 #Meta #NewYork #Behind
1,6935,6936,1,9.606133102379511,meta,"The META CARD is the most secure DEBIT card that is available to META Exchange, META BANK account holders. The META CARD is a typical DEBIT card that is available to META Exchange and META INVESTMENT BANK account holders.  Read more: meta1.io #META1Coin #meta1"
1,10700,10701,2,9.291522988699068,meta,#Meta And #IBM Unite For #AI Innovation $IBM $META  
1,10677,10678,3,8.961306905429307,meta,"Meta and IBM form an AI Alliance, but to what end? #AI #Meta #IBM  "
1,9798,9799,4,8.80484697494259,meta,Is Meta’s ad-free service just another way to make people pay for privacy? #meta
1,9733,9734,5,8.653756716720686,meta,"IBM, Meta and others form ‘AI Alliance’ to advance AI development   #Meta #Technology #IBM"
1,9744,9745,6,8.653756716720686,meta,"#Meta #Technology #IBM IBM, Meta and others form ‘AI Alliance’ to advance AI development  "
1,7005,7006,7,8.507764365180176,meta,My new META 1 smartwatch! #meta1 #meta #smartwatch #texts #weather #stocks #sportsnews #sportsscores…  
1,10719,10720,8,8.507764365180176,meta,"Meta and IBM form an AI Alliance, but to what end? dlvr.it/Szkc8n #AI #Enterprise #IBM #meta"
1,10761,10762,9,8.507764365180176,meta,"IBM, Meta and more than 50 others launch alliance to challenge dominant AI players. #ai #META #IBM  "
