qid,docid,docno,rank,score,query,text,extracted_Sentiment_label
1,9796,9797,0,8.944909973834777,meta,Weâ€™re in Meta!ðŸ«¶ | aespa Meta Tour Behind      #aespa #Ã¦spa #ì—ìŠ¤íŒŒ #Meta #NewYork #Behind,positive
1,6934,6935,1,8.621862619509704,meta,"The META CARD is the most secure DEBIT card that is available to META Exchange, META BANK account holders. The META CARD is a typical DEBIT card that is available to META Exchange and META INVESTMENT BANK account holders.  Read more: meta1.io #META1Coin #meta1",positive
1,9797,9798,2,7.902343337110353,meta,Is Metaâ€™s ad-free service just another way to make people pay for privacy? #meta,positive
1,9732,9733,3,7.768202486407864,meta,"IBM, Meta and others form â€˜AI Allianceâ€™ to advance AI development   #Meta #Technology #IBM",positive
1,9743,9744,4,7.768202486407864,meta,"#Meta #Technology #IBM IBM, Meta and others form â€˜AI Allianceâ€™ to advance AI development  ",positive
1,7004,7005,5,7.638539655547553,meta,My new META 1 smartwatch! #meta1 #meta #smartwatch #texts #weather #stocks #sportsnews #sportsscoresâ€¦  ,positive
1,9717,9718,6,7.6068944095880555,meta,And alongside the most #meta few seconds of TV too,positive
1,9723,9724,7,7.513134291491579,meta,"IBM, Meta and others form â€˜AI Allianceâ€™ to advance AI development dlvr.it/SzmyKn #Meta #Technology #IBM",positive
1,9737,9738,8,7.513134291491579,meta,Misinformation expert says she was fired from Harvard after pressure from Meta #Meta #Facebook #Harvard #socialmedia #cybersecurity #infosec  ,negative
1,9762,9763,9,7.513134291491579,meta,IBM and Meta Unveil Global AI Alliance with Over 50 Founding Members and Collaborators. #Meta #ArtificialIntelligence #alliance #Forum    ,positive
1,9781,9782,10,7.513134291491579,meta,IBM and Meta launch international AI community    #IBM #Meta #AI #GenAI #technology #academia #collaboration,positive
1,9738,9739,11,7.401712411777673,meta,"$META #META   Is Mark sending his kids to the gulag?   Mark Zuckerberg, 10% Owner, Director, COB, and CEO, on December 01,Â 2023, sold 28,009 shares in $META for $9,059,965. ",positive
1,9777,9778,12,7.322753709944821,meta," Just In IBM, Meta form â€œAI Allianceâ€ To compete with market leaders such as OpenAI and Google.  IBM, Meta, and over 50 other founding members!  This is probably the biggest news in tech this week.    #AI #OpenAI #IBM #Meta #ainews",positive
1,6982,6983,13,7.274283867766611,meta,New video up today about why we started META 1. Thank you for all your support. META 1 is about freedom and abundance for all. #meta1coin #meta1 #cryptocurrency  ,positive
1,9706,9707,14,7.274283867766611,meta,"Meta to discontinue cross-messaging between Instagram, Facebook . . #Instagram #Facebook #META #socialmedia #Prabhas #Salaar #AnimalTheMovie #DunkiTrailer #DunkiDrop4  ",positive
1,9746,9747,15,7.274283867766611,meta,"IBM and Meta lead the establishment of the AI Alliance, emphasizing collaboration over competition in responsible AI development. #AI #IBM #Meta",positive
1,6907,6908,16,7.1697845458733855,meta,META EXCHANGE is a decentralized full-service trading platform providing members with the ability to buy and sell major crypto and fiat currencies. META EXCHANGE provides the necessary support modules for META Trader 5 used for the Forex and Exchange markets.  #meta1 #meta1coin,positive
