link,text,date,likes,quotes,comments,retweets
https://twitter.com/plutsmeta/status/1726674776276767120#m,"Our whitepaper is ready, you can get acquainted with the Pluto universe.    #Pluto #P2EGame #meta #NFTCollection","Nov 20, 2023 Â· 6:52 PM UTC",760,13,65,620
https://twitter.com/gapascarella/status/1731875907512492538#m,Facing the Firing Squad in @NHL @SenseArena  on Quest 3 ðŸ’ #Meta #Quest3 #Gaming #Hockey #Training #Workout #VR #VirtualReality #Goalie #Goaltender #OnIce @penguins #Crosby #Malking #Guentzel #Letang #Fleury #Jarry,"Dec 5, 2023 Â· 3:19 AM UTC",2,0,1,1
https://twitter.com/aliencybercoat/status/1731876568174047581#m,Rocky II - Gonna Fly Now 17 piece drum set included. Practice drums in VR with our drum simulator.  #vr #rocky #RockyBalboa #oculus #meta #metaquest #vrgames #boxing #pcgaming #musician #drums #steamvr #drumcover #xr #simulator #simulation,"Dec 5, 2023 Â· 3:22 AM UTC",1,0,0,1
https://twitter.com/ImmersedVR/status/1712147704707498488#m,Unboxing the Quest 3 for work. #meta #quest3 #workinvr,"Oct 11, 2023 Â· 4:46 PM UTC",292,12,27,47
https://twitter.com/Jake__Wujastyk/status/1731815405411250410#m,$MSFT #MSFT This is a great & simple case study on using the @alphatrends anchored VWAP handoff strategy!   Dragonfly doji w/ a bounce right off the handoff VWAP today.,"Dec 4, 2023 Â· 11:19 PM UTC",37,0,9,1
https://twitter.com/martinhoyes/status/1725264665125834973#m,"Papaya Global make global #hiring & #payroll quick &  easy in over 160 countries. GO LIVE in 2-3 months! GET a DEMO,   or     #msignite #microsoft #msft #openai #salesforce #ai #azure #google #wef #fintech #legaltech #apple #aws #corpgov #esg #csuite #csr #hrtech #finserv #futureofwork #hr #shrm #cx #web3 #crm #payments #startup #startups","Nov 16, 2023 Â· 9:28 PM UTC",2,0,1,2
https://twitter.com/martinhoyes/status/1730322346735706599#m,"Papayaglobal offer #eor & #globalpayroll for 160 countries. Get a DEMO & GO LIVE in 2-3 months,   or     #awsreinvent #aws #reinvent #HPEDiscover #hpe #salesforce #crm #ai #microsoft #msft #openai #chatgpt #meta #googl #google #cfo #hr #hrtech #humanresources #fintech #legaltech #apple #appl #corpgov #esg #csuite #finserv #futureofwork #shrm #hiring #cx #web3 #payments #startup #startups","Nov 30, 2023 Â· 8:26 PM UTC",2,2,0,2
https://twitter.com/martinhoyes/status/1729565438848491837#m,"Papayaglobal offer #eor & #globalpayroll for 160 countries. Get a DEMO & GO LIVE in 2-3 months,   or     #awsreinvent #aws #reinvent #ai #microsoft #msft #openai #chatgpt #meta #googl #google #cfo #hr #hrtech #humanresources #salesforce #wef #fintech #legaltech #apple #corpgov #esg #csuite #csr #finserv #futureofwork #shrm #hiring #cx #web3 #crm #payments #startup #startups","Nov 28, 2023 Â· 6:18 PM UTC",2,2,0,2
https://twitter.com/martinhoyes/status/1729937493632614529#m,"Papayaglobal offer #eor & #globalpayroll for 160 countries. Get a DEMO & GO LIVE in 2-3 months,   or     #awsreinvent #aws #reinvent #salesforce #crm #ai #microsoft #msft #openai #chatgpt #meta #googl #google #cfo #hr #hrtech #humanresources #wef #fintech #legaltech #apple #corpgov #esg #csuite #csr #finserv #futureofwork #shrm #hiring #cx #web3 #payments #startup #startups","Nov 29, 2023 Â· 6:56 PM UTC",3,2,0,2
https://twitter.com/DarthTrada/status/1731776068728533329#m,This rally looks over. #MSFT $MSFT #SPX $SPX #NDX $NDX,"Dec 4, 2023 Â· 8:42 PM UTC",1,0,0,1
https://twitter.com/SuhailNepal/status/1731497265439936671#m,"This image creator tool from #msft looks really cool. I tried to generate my image with the prompt ðŸ˜‚  ""Currently lives in Melbourne, Nepali background, loves his coffee, spends time with his golden lab, also interested in tech and aviation""  @MSFT365Designer","Dec 4, 2023 Â· 2:14 AM UTC",4,0,1,1
https://twitter.com/JohnNosta/status/1730993842323697762#m,ðŸš¨KEY READ! Precision Prompting: Transforming AI From Basic to Brilliant      #prompt #promptengineering @BrianRoemmele #LLMs #GPT4 #digitalhealth #medicine #MSFT @OpenAI @CathieDWood,"Dec 2, 2023 Â· 4:54 PM UTC",13,0,2,11
https://twitter.com/altcoingazette/status/1731504888675262658#m,#Breaking_News:   $DOGE $BTC $ETH $LINK #dogefam #ChatGPT #quant #Tesla $SOFI #AAPL #Applecomputer #ICPUSD $Tesla #Tesla #Altcoingazette #CryptoGiveaway #BlockchainNews $NVDA #MSFT #AI #BitcoinSV $LCX $XRPHolders,"Dec 4, 2023 Â· 2:45 AM UTC",2,0,0,1
https://twitter.com/altcoingazette/status/1731505931400184023#m,#Breaking_News:   $DOGE $BTC $ETH $LINK #dogefam #ChatGPT #quant #Tesla $SOFI #AAPL #Applecomputer #ICPUSD $Tesla #Tesla #Altcoingazette #CryptoGiveaway #BlockchainNews $NVDA #MSFT #AI #BitcoinSV $LCX $XRPHolders,"Dec 4, 2023 Â· 2:49 AM UTC",1,0,0,1
